Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-NY,NY-14,703900,625250,51409500,1222900,4681600,16247000,4665000,211972500,2725700,2996925,6578250,549800,1086000
US,US-NY,NY-15,622200,553150,45253000,1081850,4136700,14333000,4127500,186742500,2404900,2647425,5819250,485300,957800
US,US-NY,NY-16,762700,678400,56132000,1326900,5092000,17765000,5060500,231532500,2975200,3258375,7137000,599300,1182400
US,US-NY,NY-17,619800,549750,45296750,1075275,4117300,14305000,4101500,186712500,2399200,2635575,5781000,484300,956000
US,US-NY,NY-18,567000,502100,41295500,982100,3755500,13033000,3746000,169822500,2185800,2402025,5275500,441600,872600
US,US-NY,NY-19,903600,794650,65800750,1554225,5927300,20568000,5928000,264240000,3443600,3763875,8308500,700200,1381800
US,US-NY,NY-2,514500,454250,37509750,888500,3400400,11811000,3388500,154642500,1981500,2177850,4770000,400250,791200
US,US-NY,NY-20,590900,522850,42994000,1022675,3907600,13557000,3901000,176085000,2273700,2496150,5490750,460150,908600
US,US-NY,NY-21,400100,353250,29124500,690950,2640900,9170000,2635500,119302500,1537700,1688475,3705750,311000,614200
US,US-NY,NY-22,841900,738950,61153500,1445325,5510200,19121000,5512500,245910000,3202400,3499800,7719000,651100,1284400
US,US-NY,NY-23,449400,396600,32654000,775750,2962100,10276000,2959000,133087500,1723300,1889550,4160250,349400,689200
US,US-NY,NY-24,652500,572850,47549500,1120475,4280600,14868000,4272500,193102500,2492300,2732550,5995500,505650,998200
US,US-NY,NY-25,469100,415200,34224500,812100,3107000,10793000,3097500,140587500,1810000,1987200,4362750,366050,722600
US,US-NY,NY-26,504300,446650,36736500,873575,3341000,11598000,3332000,151162500,1945700,2137725,4695000,393300,776600
US,US-NY,NY-27,348300,307950,25451750,602300,2305700,8015000,2297000,104565000,1344200,1475250,3234750,271950,536200
US,US-NY,NY-3,607000,537650,44214500,1051550,4021000,13951000,4011000,181965000,2340400,2572575,5649000,472950,934800
US,US-NY,NY-4,591200,524000,43067000,1024900,3919700,13599000,3909500,177487500,2281700,2508900,5507250,460600,910800
US,US-NY,NY-5,530600,470200,38698500,919700,3519200,12210000,3508000,159532500,2048900,2253525,4942500,413350,818000
